Epsilon,SW,PM,Optimal
1.0,0.37836009023456985,0.37754066879814563,0.37754054170522466
1.25,0.3501953935419889,0.3486451353339457,0.3486449886773584
1.5,0.32339927210339414,0.32082130082460725,0.3208211349481028
1.75,0.2981300869918112,0.29421497216298875,0.2942134270930127
2.0,0.274497772491912,0.2689414213699949,0.2689412262845726
2.25,0.25256531802038085,0.24508501313237152,0.24508444699116538
2.5,0.2323525202484934,0.2227001388253088,0.22270008242670802
2.75,0.21384137869325315,0.20181322226037923,0.2018117646015508
3.0,0.19698247842850047,0.1824255238063559,0.1824241714853847
3.25,0.18170175117759824,0.1645164628965634,0.16451524561707653
3.5,0.16790710649258844,0.14804719803168964,0.14804604925147247
3.75,0.15549455212663144,0.1329642401978296,0.13296315838210282
4.0,0.14435355455526155,0.11920292202211724,0.1192019330724351
4.25,0.1343715104224894,0.10669059394565117,0.10668973293702655
4.5,0.12543729771080359,0.09534946489910845,0.09534872818283946
4.75,0.11744394783834944,0.08509904500701992,0.0850983660526875
5.0,0.11029052729417599,0.07585818002124356,0.07585755431553598
5.25,0.10388334322240789,0.06754669113962719,0.0675461093141756
5.5,0.09813659624027948,0.06008665017400883,0.060086112829209615
5.75,0.09297260060330104,0.05340332979982354,0.053402832413841694
6.0,0.08832168100484938,0.0474258731775663,0.04742541358566921
6.25,0.08412184037960613,0.042087727915619544,0.042087301621150486
6.5,0.0803182767152848,0.03732688734413059,0.037326491056183464
6.75,0.07686281085943492,0.03308597838870553,0.03308561254110054
7.0,0.07371327272720396,0.029312230751353252,0.029311740880556325
7.25,0.07083288072539506,0.025957357197792685,0.02595704008790567
7.5,0.06818963878516282,0.022977369910022638,0.022977074509635154
7.75,0.06575576707522812,0.02033235334266381,0.020331814113970115
8.0,0.06350717604538558,0.017986209962088884,0.01798570534507804
