x,SW,Optimal
0.0,0.08460484522835413,0.03786563864108429
0.034482758620689655,0.07643386957106656,0.031061609044859384
0.06896551724137931,0.06884653503215664,0.02663570073282005
0.10344827586206896,0.06184284161162444,0.024170099500906192
0.13793103448275862,0.05542278930946989,0.022054916674311923
0.1724137931034483,0.049586378125693054,0.020132892353655882
0.20689655172413793,0.0443336080602939,0.018403957153735283
0.24137931034482757,0.0396644791132724,0.016865204505821997
0.27586206896551724,0.03557899128462862,0.015519757761960983
0.3103448275862069,0.03207714457436251,0.014366485217580181
0.3448275862068966,0.029158938982474077,0.013405279462195763
0.3793103448275862,0.026824374508963342,0.01263644273653288
0.41379310344827586,0.025073451153830285,0.012061191778220305
0.4482758620689655,0.023906168917074914,0.011676743685786242
0.48275862068965514,0.023322527798697222,0.011484491350327643
0.5172413793103449,0.02332252779869722,0.011484446914901147
0.5517241379310345,0.023906168917074914,0.011676632307577456
0.5862068965517241,0.02507345115383027,0.012061015519349363
0.6206896551724138,0.02682437450896333,0.012637588530653589
0.6551724137931034,0.02915893898247408,0.01340632468482926
0.6896551724137931,0.03207714457436252,0.014367256621241557
0.7241379310344828,0.035578991284628596,0.015520384340337236
0.7586206896551724,0.03966447911327241,0.016865707842482064
0.7931034482758621,0.0443336080602939,0.01840322712797863
0.8275862068965517,0.04958637812569303,0.020133346143368626
0.8620689655172413,0.055422789309469894,0.022054587193637107
0.896551724137931,0.06184284161162444,0.02416972024827516
0.9310344827586207,0.06884653503215661,0.026635700732820036
0.9655172413793103,0.07643386957106653,0.031061609044859353
