x,SW,PM,Optimal
0.0,0.14435355455526155,0.11920292202211724,0.11920292204168192
0.034482758620689655,0.13496234505937388,0.11150205053510454,0.09350605119141175
0.06896551724137931,0.12624193624176416,0.10435124129716411,0.08478209550341831
0.10344827586206896,0.11819232810243219,0.09775049430829563,0.0810581790531244
0.13793103448275862,0.1108135206413774,0.09169980956849966,0.07765572887178807
0.1724137931034483,0.10410551385860078,0.08619918707777596,0.07457474516364127
0.20689655172413793,0.09806830775410169,0.08124862683612477,0.07181522792872641
0.24137931034482757,0.09270190232787978,0.07684812884354575,0.06937669889141695
0.27586206896551724,0.08800629757993605,0.07299769310003912,0.06726059287858943
0.3103448275862069,0.0839814935102704,0.06969731960560499,0.06546509212920737
0.3448275862068966,0.08062749011888204,0.06694700836024314,0.06399114979511455
0.3793103448275862,0.0779442874057712,0.06474675936395335,0.06283885306168246
0.41379310344827586,0.0759318853709382,0.06309657261673662,0.06200892045710149
0.4482758620689655,0.0745902840143825,0.06199644811859206,0.061499668534785945
0.48275862068965514,0.07391948333610471,0.06144638586951917,0.06131188308573521
0.5172413793103449,0.07391948333610482,0.06144638586951917,0.06144483047902638
0.5517241379310345,0.07459028401438245,0.061996448118591785,0.061900711607329795
0.5862068965517241,0.07593188537093792,0.06309657261673629,0.06267732557797506
0.6206896551724138,0.07794428740577097,0.06474675936395341,0.06377540602185261
0.6551724137931034,0.0806274901188817,0.06694700836024292,0.06519495293895994
0.6896551724137931,0.08398149351027007,0.06969731960560493,0.06693594205729989
0.7241379310344828,0.08800629757993617,0.07299769310003906,0.06899810949669197
0.7586206896551724,0.09270190232788031,0.07684812884354542,0.07138239252968215
0.7931034482758621,0.09806830775410169,0.08124862683612441,0.07408780533971643
0.8275862068965517,0.10410551385860078,0.08619918707777574,0.07711468462299323
0.8620689655172413,0.11081352064137756,0.09169980956849938,0.08046303037949598
0.896551724137931,0.11819232810243198,0.09775049430829531,0.08413284260864862
0.9310344827586207,0.12624193624176416,0.10435124129716372,0.0881241212047978
0.9655172413793103,0.13496234505937407,0.1115020505351044,0.09556123394105172
