Epsilon,SW,PM,Optimal
1.0,2.3761013666730975,2.370955400052353,1.1854777596117692
1.25,2.199227071443689,2.1894914498971794,1.0947457249485857
1.5,2.030947428809314,2.014757769178532,1.0073788845892633
1.75,1.8722569463085743,1.8476700251835694,0.9238350125917809
2.0,1.7238460112492073,1.6889521262035698,0.8444760639269124
2.25,1.5861101971679914,1.5391338824712948,0.7695669420605808
2.5,1.459173827160539,1.3985568718229398,0.6992785470277871
2.75,1.3429238581936298,1.2673870357951784,0.633693518722132
3.0,1.2370499645309823,1.1456322895039182,0.5728161447519593
3.25,1.1410869973953166,1.0331633869904164,0.5165816943193127
3.5,1.0544566287734571,0.9297364036390098,0.46486820264336615
3.75,0.9765057873552458,0.8350154284423676,0.41750771504478124
4.0,0.9065403226070423,0.7485943502988988,0.37429717514944905
4.25,0.8438530854532336,0.6700169299786896,0.335008464989345
4.5,0.7877462296238459,0.5987946395664085,0.2993973563901058
4.75,0.7375479924248342,0.5344220026440873,0.2672110021442151
5.0,0.6926245114074246,0.47638937053340946,0.23819468609191574
5.25,0.6523873954367212,0.42419322035687157,0.21209661100363064
5.5,0.616297824388955,0.3773441630927676,0.18867208237158195
5.75,0.5838679317887305,0.33537291114289625,0.16768645639665536
6.0,0.5546601567104547,0.29783448355511943,0.14891724260276007
6.25,0.5282851575839245,0.26431093131008637,0.13215546648024912
6.5,0.5043987777719878,0.23441285252113264,0.11720642708575468
6.75,0.4826984521972512,0.20777994428106172,0.10388997296573876
7.0,0.46291935272684037,0.1840808091185182,0.09204040459908214
7.25,0.4448304909554816,0.16301220320216503,0.08150610160110006
7.5,0.4282309315708225,0.14429788303496147,0.07214894234266467
7.75,0.4129462172324326,0.12768717899189588,0.06384358949594571
8.0,0.39882506556502034,0.11295339856193512,0.056476700106188105
