x,SW,SW-C,PM,PM-C,Unbias-GPM,Optimal
0.061224489795918366,0.1651292443759789,0.17433892822180896,0.21385102264223776,0.16145532615098185,0.40508569150838764,0.1379950983958307
0.08163265306122448,0.1602148833816568,0.16744741294151155,0.20746878857321074,0.15507309208195474,0.40266372820219765,0.13064897617920715
0.1020408163265306,0.1555345395775406,0.16088406505551406,0.2013904704122326,0.14899477392097668,0.4003570964820166,0.12653911870644927
0.12244897959183673,0.15108821296363018,0.1546488845638164,0.19561606815930332,0.14322037166804746,0.39816579634784477,0.12300880628139235
0.14285714285714285,0.14687590353992558,0.14874187146641865,0.19014558181442304,0.13774988532316712,0.39608982779968194,0.1196642996741995
0.16326530612244897,0.1428976113064267,0.1431630257633208,0.18497901137759162,0.13258331488633568,0.3941291908375281,0.11650332355878983
0.18367346938775508,0.13915333626313375,0.1379123474545227,0.18011635684880917,0.1277206603575532,0.3922838854613834,0.11353270421509667
0.2040816326530612,0.1356430784100466,0.13298983654002458,0.17555761822807547,0.12316192173681953,0.39055391167124764,0.11074561536919415
0.22448979591836732,0.13236683774716526,0.12839549301982645,0.17130279551539085,0.11890709902413482,0.38893926946712093,0.1081443324463479
0.24489795918367346,0.12932461427448966,0.12412931689392803,0.16735188871075504,0.11495619221949904,0.3874399588490033,0.1057288554465596
0.26530612244897955,0.12651640799201985,0.12019130816232942,0.16370489781416814,0.11130920132291211,0.38605597981689466,0.10349918436983435
0.2857142857142857,0.12394221889975587,0.11658146682503079,0.1603618228256302,0.10796612633437425,0.3847873323707952,0.10145531921616469
0.3061224489795918,0.12160204699769783,0.11329979288203207,0.15732266374514112,0.10492696725388512,0.3836340165107047,0.09959725998555485
0.32653061224489793,0.11949589228584534,0.11034628633333332,0.15458742057270092,0.10219172408144506,0.3825960322366233,0.09792500667799942
0.3469387755102041,0.11762375476419895,0.1077209471789341,0.1521560933083097,0.09976039681705373,0.3816733795485509,0.09643855929351192
0.36734693877551017,0.11598563443275844,0.10542377541883485,0.15002868195196734,0.09763298546071131,0.3808660584464875,0.0951379178320857
0.3877551020408163,0.11458153129152338,0.10345477105303591,0.14820518650367398,0.09580949001241801,0.3801740689304332,0.09402308229372247
0.4081632653061224,0.1134114453404943,0.10181393408153627,0.14668560696342925,0.09428991047217328,0.379597411000388,0.09309405267841764
0.42857142857142855,0.112475376579671,0.10050126450433683,0.1454699433312337,0.09307424683997778,0.3791360846563518,0.09235082898617353
0.44897959183673464,0.11177332500905424,0.09951676232143747,0.14455819560708688,0.09216249911583074,0.3787900898983247,0.09179329785577561
0.4693877551020408,0.11130529062864203,0.09886042753283752,0.14395036379098924,0.09155466729973327,0.3785594267263066,0.09142179937086936
0.4897959183673469,0.11107127343843604,0.09853226013853722,0.14364644788294034,0.09125075139168426,0.3784440951402976,0.09123588008659222
0.5102040816326531,0.11107127343843626,0.09853226013853789,0.14364644788294023,0.09125075139168404,0.3784440951402976,0.09123588008659156
0.5306122448979591,0.1113052906286418,0.09886042753283752,0.14395036379098913,0.09155466729973294,0.37855942672630655,0.09142179937087103
0.5510204081632653,0.11177332500905379,0.09951676232143702,0.14455819560708694,0.09216249911583074,0.37879008989832463,0.09179341121699491
0.5714285714285714,0.11247537657967133,0.10050126450433661,0.14546994333123375,0.09307424683997789,0.37913608465635185,0.09235082898617919
0.5918367346938775,0.11341144534049485,0.10181393408153694,0.14668560696342903,0.09428991047217306,0.37959741100038813,0.09309405267842519
0.6122448979591836,0.11458153129152349,0.1034547710530358,0.14820518650367376,0.09580949001241801,0.38017406893043343,0.09402308229373135
0.6326530612244897,0.11598563443275856,0.10542377541883496,0.1500286819519674,0.09763298546071142,0.3808660584464875,0.09513780447087927
0.6530612244897959,0.11762375476419829,0.10772094717893443,0.1521560933083097,0.09976039681705395,0.3816733795485508,0.09643855929352929
0.673469387755102,0.11949589228584578,0.11034628633333288,0.15458742057270092,0.10219172408144495,0.3825960322366235,0.09792500667802151
0.6938775510204082,0.12160204699769794,0.11329979288203162,0.15732266374514148,0.10492696725388484,0.3836340165107047,0.09959714662435104
0.7142857142857142,0.12394221889975654,0.11658146682503157,0.1603618228256305,0.10796612633437497,0.3847873323707955,0.10145531921618645
0.7346938775510203,0.12651640799202024,0.12019130816232915,0.16370489781416797,0.11130920132291244,0.38605597981689466,0.1034990710086392
0.7551020408163265,0.1293246142744895,0.12412931689392792,0.16735188871075435,0.11495619221949926,0.3874399588490033,0.1057288554465976
0.7755102040816326,0.13236683774716518,0.128395493019827,0.17130279551539074,0.11890709902413477,0.388939269467121,0.10814433244639465
0.7959183673469387,0.13564307841004597,0.13298983654002505,0.17555761822807536,0.12316192173681939,0.39055391167124764,0.11074561536925209
0.8163265306122448,0.1391533362631341,0.13791234745452252,0.18011635684880867,0.12772066035755225,0.39228388546138315,0.11353259085394996
0.836734693877551,0.14289761130642775,0.14316302576332074,0.18497901137759198,0.13258331488633468,0.39412919083752807,0.11650559898400736
0.8571428571428571,0.1468759035399243,0.14874187146641837,0.1901455818144231,0.13774988532316712,0.39608982779968216,0.11966429967477188
0.8775510204081632,0.1510882129636295,0.15464888456381498,0.19561606815930332,0.1432203716680469,0.39816579634784466,0.12300880628484956
0.8979591836734693,0.15553453957754115,0.160884065055515,0.2013904704122318,0.14899477392097626,0.40035709648201645,0.12653911872942114
0.9183673469387754,0.16021488338165657,0.16744741294151133,0.20746878857321027,0.15507309208195563,0.40266372820219765,0.13064897617920668
0.9387755102040816,0.16512924437597842,0.1743389282218084,0.21385102264223832,0.1614553261509819,0.4050856915083876,0.13799509839583068
0.9591836734693877,0.1702776225605076,0.18155861089640712,0.22053717261931416,0.1681414761280582,0.4076229864005865,0.14907323234064762
0.9795918367346939,0.17566001793523878,0.18910646096530215,0.22752723850443868,0.17513154201318226,0.410275612878795,0.16388337801366326
