Epsilon,SW,PM,Optimal
1.0,8.864727747726327,8.710819643467866,2.142476513259674
1.25,8.018171285514232,7.7792506412333315,1.9008560496730311
1.5,7.26153704227949,6.923725509123894,1.6787187115493638
1.75,6.590407610862296,6.14371226735884,1.4761228179150339
2.0,5.9986881983953895,5.437245973924512,1.2927366262741742
2.25,5.479240674123247,4.801208999420684,1.127902615692436
2.5,5.024448801233431,4.231619934164797,0.9807069023395285
2.75,4.626679358391749,3.723910127265701,0.8500484126443473
3.0,4.278625217019726,3.273172487864194,0.7347035687412068
3.25,3.973533628633291,2.8743730795782776,0.6333835704416892
3.5,3.705334470265973,2.5225213917853937,0.5447825964354439
3.75,3.468689042619397,2.2127994740305503,0.46761635008071917
4.0,3.258981269867259,1.9406531741586468,0.40065121434121687
4.25,3.072271284536963,1.701850564394102,0.3427248525450683
4.5,2.905227833140417,1.4925134590746563,0.2927594184493229
4.75,2.7550518510719537,1.3091279768083668,0.2497686868092463
5.0,2.6193996897500336,1.1485396372214158,0.212860411221797
5.25,2.496311243057812,1.0079377334115383,0.18123501817816895
5.5,2.384145754134422,0.8848328596876482,0.1541819341940264
5.75,2.281526356987741,0.7770306203447699,0.13107398431623982
6.0,2.1872933017785163,0.6826037719717464,0.11136093727841523
6.25,2.1004651805337375,0.5998643951491175,0.09456251284665915
6.5,2.020207170598862,0.5273371615623014,0.08026145597435011
6.75,1.9458052291350765,0.463734353525317,0.06809599690582274
7.0,1.876645214843975,0.40793298994524924,0.05775528606449508
7.25,1.8121960210251413,0.3589541976317464,0.048971307193495295
7.5,1.7519959370177742,0.31594482118543227,0.04151198293237904
7.75,1.6956415892406596,0.2781611718089766,0.03518148862669136
8.0,1.6427789358067963,0.24495476115411155,0.02981139414235554
