Epsilon,SW,PM,Optimal
1.0,2.3761013666730983,2.3709554000523547,1.2705394367832812
1.25,2.1992270714436897,2.1894914498971794,1.1726003999359524
1.5,2.0309474288093154,2.0147577691785337,1.0765331659820405
1.75,1.8722569463085739,1.8476700251835698,0.9840108081713126
2.0,1.7238460112492078,1.688952126203569,0.8960140670390762
2.25,1.5861101971679918,1.539133882471294,0.8131748838568491
2.5,1.459173827160539,1.3985568718229402,0.7358043272362638
2.75,1.3429238581936298,1.267387035795183,0.6640270204491383
3.0,1.237049964530983,1.145632289503915,0.5978210561826462
3.25,1.141086997395317,1.0331633869904184,0.5370642359275912
3.5,1.0544566287734565,0.9297364036390112,0.481552546674723
3.75,0.9765057873552463,0.8350154284423681,0.43102729193490497
4.0,0.9065403226070421,0.7485943502988954,0.38520601513757713
4.25,0.843853085453234,0.6700169299786873,0.34377563874345896
4.5,0.7877462296238456,0.5987946395663988,0.3064180847418738
4.75,0.7375479924248349,0.5344220026440851,0.2728165380984211
5.0,0.6926245114074261,0.47638937053341035,0.24265662673318378
5.25,0.6523873954367216,0.4241932203568597,0.21563933976916383
5.5,0.6162978243889548,0.37734416309277297,0.19147955303189912
5.75,0.5838679317887303,0.3353729111428949,0.1699063222809314
6.0,0.5546601567104537,0.29783448355511766,0.15067154074956246
6.25,0.5282851575839258,0.264310931310086,0.13353766571744297
6.5,0.5043987777719883,0.2344128525211433,0.11829444024373093
6.75,0.48269845219725216,0.20777994428106883,0.10474478723225822
7.0,0.46291935272684004,0.18408080911850178,0.09271218026086236
7.25,0.4448304909554821,0.1630122032021344,0.0820319529005431
7.5,0.42823093157082326,0.14429788303493574,0.07256211388722544
7.75,0.41294621723243097,0.12768717899195003,0.06416725396255174
8.0,0.3988250655650205,0.11295339856192843,0.05672924154841441
