x,GPM,Staircase,Truncated Laplace
0.0,0.2689414213699951,0.4254590641196608,0.2161661791908469
0.02,0.2500287341013787,0.4254590641196608,0.22458803496578028
0.04,0.23329067229552958,0.4254590641196608,0.23256916606019434
0.06,0.21872723595244764,0.4254590641196608,0.2401223644473353
0.08,0.20633842507213299,0.4254590641196608,0.2472596956236435
0.1,0.19612423965458553,0.4254590641196608,0.25399259040561917
0.12,0.18808467969980536,0.4254590641196608,0.26033181877794564
0.14,0.18214788626081646,0.4254590641196608,0.266287527835915
0.16,0.17699757408441624,0.4254590641196608,0.271869246407572
0.18,0.17214156546095322,0.4254590641196608,0.27708590819105794
0.2,0.16757986039042735,0.4254590641196608,0.28194585900941943
0.22,0.1633124588728386,0.4254590641196608,0.2864568769523771
0.24,0.159339360908187,0.4254590641196608,0.29062618070204593
0.26,0.1556605664964726,0.4254590641196608,0.2944604410029842
0.28,0.15227607563769535,0.4254590641196608,0.2979657944310202
0.3,0.14918588833185525,0.4254590641196608,0.3011478503203366
0.32,0.14639000457895227,0.4254590641196608,0.30401169991391813
0.34,0.1438884243789865,0.4254590641196608,0.30656192644196756
0.36,0.1416811477319579,0.4254590641196608,0.3088026108890172
0.38,0.13976817463786617,0.4254590641196608,0.31073733875061177
0.4,0.13814950509671187,0.4254590641196608,0.3123692060339656
0.42,0.13682513910849475,0.4254590641196608,0.3137008241085746
0.44,0.13579507667321478,0.4254590641196608,0.31473432340215535
0.46,0.13505931779087188,0.4254590641196608,0.3154713582983287
0.48,0.13461786246146623,0.4254590641196608,0.31591310808711476
0.5,0.1344707106849975,0.4254590641196608,0.31606027941427883
0.52,0.13461786246146612,0.4254590641196608,0.31591310808711465
0.54,0.13505931779087177,0.4254590641196608,0.31547135829832873
0.56,0.13579507667321467,0.4254590641196608,0.31473432340215546
0.58,0.1368251391084948,0.4254590641196608,0.3137008241085746
0.6,0.13814950509671187,0.4254590641196608,0.3123692060339656
0.62,0.13976817463786673,0.4254590641196608,0.3107373387506117
0.64,0.14168114773195772,0.4254590641196608,0.3088026108890173
0.66,0.1438884243789864,0.4254590641196608,0.30656192644196756
0.68,0.14639000457895235,0.4254590641196608,0.30401169991391824
0.7000000000000001,0.1491858883318553,0.4254590641196608,0.30114785032033653
0.72,0.15227607563769552,0.4254590641196608,0.2979657944310202
0.74,0.15566056649647253,0.4254590641196608,0.2944604410029841
0.76,0.159339360908187,0.4254590641196608,0.29062618070204604
0.78,0.16331245887283896,0.4254590641196608,0.2864568769523771
0.8,0.16757986039042705,0.4254590641196608,0.2819458590094193
0.8200000000000001,0.17214156546095372,0.4254590641196608,0.2770859081910579
0.84,0.17699757408441652,0.4254590641196608,0.27186924640757204
0.86,0.1821478862608159,0.4254590641196608,0.266287527835915
0.88,0.1880846796998059,0.4254590641196608,0.2603318187779456
0.9,0.19612423965458547,0.4254590641196608,0.2539925904056192
0.92,0.20633842507213318,0.4254590641196608,0.24725969562364353
0.9400000000000001,0.21872723595244792,0.4254590641196608,0.24012236444733528
0.96,0.2332906722955297,0.4254590641196608,0.23256916606019465
0.98,0.25002873410137916,0.4254590641196608,0.22458803496578023
