Epsilon,GPM,PM,SW
1.0,0.0249748011055006,0.7852201469925473,0.7049895787388958
1.5,0.016450656955174444,0.6671296994231873,0.5576863426788097
2.0,0.012065518125325697,0.5589298993391465,0.42704646851653916
2.5,0.008777911858086098,0.4622953867186707,0.3208312750139664
3.0,0.007446741737790429,0.379509888871473,0.23589662191765215
3.5,0.0057944293676864414,0.3077657712704915,0.16863936531441986
4.0,0.004858978582844808,0.24842112546468986,0.11950557989738131
4.5,0.004091743706696512,0.19813700371001908,0.0829426565463683
5.0,0.0032934452595847433,0.15777088843206946,0.05737483035834235
5.5,0.0028494811234461358,0.124790939115966,0.03836518726146997
6.0,0.002510924451591782,0.0986912593070652,0.02627451076777153
6.5,0.0021583914648595345,0.07760299099786455,0.01730500564437708
7.0,0.0017736794974254372,0.061006261510215265,0.011696592063923325
7.5,0.001550620244379901,0.04780718064207795,0.00786426190632523
8.0,0.0013787563059704565,0.037376345449385076,0.005758131463132556
