x,SW,Optimal,SW_truncation
0.0,0.16832567810282006,0.13111459350581284,0.16050178632980408
0.034482758620689655,0.1539317351364854,0.1131750719657588,0.14638535007873515
0.06896551724137931,0.14056593095346046,0.09761366840764035,0.13361212376741932
0.10344827586206896,0.12822826555374503,0.08443038613358468,0.12182168121070171
0.13793103448275862,0.11691873893733921,0.07362522514022221,0.11067750949695074
0.1724137931034483,0.10663735110424309,0.06519818527053411,0.10039612316610554
0.20689655172413793,0.09738410205445654,0.058688864966810604,0.09114286116799052
0.24137931034482757,0.08915899178797959,0.05295096234166775,0.08291776179646954
0.27586206896551724,0.08196202030481228,0.04793029753353929,0.07572078672232035
0.3103448275862069,0.07579318760495458,0.04362687055417973,0.06955195889325101
0.3448275862068966,0.0706524936884065,0.04004068140456889,0.06441126196922245
0.3793103448275862,0.06653993855516804,0.03717165166810354,0.0602977288901461
0.41379310344827586,0.06345552220523921,0.03502067725414395,0.057214290414379115
0.4482758620689655,0.061399244638619954,0.03358572779558276,0.055158016029019805
0.48275862068965514,0.06037110585531033,0.032868154744288246,0.05412987682303097
0.5172413793103449,0.06037110585531033,0.0328686487732978,0.05412987682303097
0.5517241379310345,0.061399244638619954,0.0335855084073585,0.05515801602901979
0.5862068965517241,0.06345552220523919,0.035020010248783304,0.057214290414379136
0.6206896551724138,0.06653993855516803,0.037171699878662576,0.0602977288901461
0.6551724137931034,0.0706524936884065,0.040040681404564585,0.06441126196922246
0.6896551724137931,0.07579318760495457,0.043626870554169604,0.06955195889325101
0.7241379310344828,0.08196202030481228,0.04793025788415131,0.07572078672232035
0.7586206896551724,0.08915899178797959,0.05295096234181982,0.08291776179646956
0.7931034482758621,0.09738410205445654,0.05868886496834571,0.09114286116799056
0.8275862068965517,0.10663735110424308,0.06519818527029747,0.10039612316610555
0.8620689655172413,0.1169187389373392,0.07362522514043442,0.11067750949695074
0.896551724137931,0.12822826555374506,0.08443038613346955,0.12182218324920982
0.9310344827586207,0.14056593095346048,0.09761366840733918,0.1336121237674193
0.9655172413793103,0.15393173513648542,0.1131750719646491,0.14638535007873515
