x,PM,Optimal,PM_truncation
-1.0,0.24135388698876997,0.1625425834431433,0.20195685926814372
-0.9310344827586207,0.2205096824846529,0.1301650761294781,0.18730148159398552
-0.8620689655172413,0.2011543497308298,0.10730005065056812,0.177690476844796
-0.7931034482758621,0.18328788872730073,0.09392166318091691,0.16865573948775692
-0.7241379310344828,0.16691029947406588,0.08505744885041654,0.15575641776517896
-0.6551724137931034,0.15202158197112497,0.07699907189139982,0.14086770011686237
-0.5862068965517242,0.1386217362184783,0.06974653262771863,0.1274678550842083
-0.5172413793103449,0.12671076221612562,0.06329986875765882,0.11555688077024769
-0.4482758620689655,0.11628865996406701,0.057658935093422854,0.10513477508153893
-0.3793103448275862,0.10735542946230245,0.05282393872282715,0.09620154571616346
-0.31034482758620685,0.09991107071083208,0.04879475253248517,0.0887571886362911
-0.24137931034482762,0.09395558370965573,0.04557126635411858,0.08280170231665618
-0.1724137931034483,0.0894889684587735,0.04315388866068409,0.07833508654918926
-0.10344827586206895,0.0865112249581853,0.04154221326872086,0.07535734323522478
-0.034482758620689724,0.08502235320789123,0.04073637557275136,0.0738684727099386
0.034482758620689724,0.08502235320789123,0.04073637557275136,0.0738684727099386
0.10344827586206895,0.0865112249581853,0.04154221326872086,0.07535734323522478
0.17241379310344818,0.0894889684587735,0.04315388866068408,0.07833508654918925
0.24137931034482762,0.09395558370965573,0.04557140174860148,0.08280170231665618
0.31034482758620685,0.09991107071083208,0.04879475253248518,0.0887571886362911
0.3793103448275863,0.1073554294623025,0.052823973353046685,0.09620154571616346
0.4482758620689655,0.11628865996406701,0.05765896718816154,0.10513477508153893
0.5172413793103448,0.12671076221612557,0.06329983105995489,0.1155568807702477
0.5862068965517242,0.1386217362184783,0.06974653262771861,0.1274678550842083
0.6551724137931034,0.15202158197112497,0.07699907189139982,0.14086770011686237
0.7241379310344827,0.16691029947406585,0.085057310439267,0.15575641776517896
0.7931034482758621,0.18328788872730073,0.09392166318091691,0.16865573948775692
0.8620689655172413,0.20115434973082982,0.10730005065056812,0.177690476844796
0.9310344827586206,0.2205096824846529,0.13016507612947806,0.18730148159398552
