x,SW,SW-C,PM,PM-C,Unbias-GPM,Optimal
0.08163265306122448,0.11706131286443977,0.12270953971149054,0.11998729116225038,0.10132993079847648,0.2312293869634261,0.08328542639734032
0.1020408163265306,0.1132072080808291,0.11789975863509697,0.1160155153347746,0.09735815497100062,0.22979116845513803,0.08103115256664047
0.12244897959183673,0.10954580853639906,0.11333046661252302,0.11224232829867259,0.09358496793489865,0.22842486087226443,0.07888959242747567
0.14285714285714285,0.10607711423114946,0.10900166364376895,0.10866773005394438,0.09001036969017034,0.2271304642148051,0.07686074597984581
0.16326530612244897,0.10280112516508061,0.10491334972883443,0.10529172060058994,0.0866343602368159,0.22590797848276017,0.07494461322375094
0.18367346938775508,0.09971784133819195,0.10106552486771958,0.10211429993860932,0.08345693957483524,0.22475740367612967,0.07314119415919118
0.2040816326530612,0.09682726275048403,0.09745818906042436,0.09913546806800247,0.08047810770422842,0.22367873979491368,0.07145048878616625
0.22448979591836732,0.0941293894019567,0.09409134230694871,0.09635522498876936,0.0776978646249954,0.22267198683911202,0.06987249710467641
0.24489795918367346,0.09162422129260983,0.09096498460729274,0.09377357070091016,0.07511621033713611,0.22173714480872475,0.06840721911472158
0.26530612244897955,0.08931175842244332,0.08807911596145657,0.09139050520442457,0.07273314484065063,0.22087421370375193,0.06705465481630157
0.2857142857142857,0.08719200079145728,0.0854337363694404,0.08920602849931297,0.07054866813553884,0.2200831935241935,0.06581480420941643
0.3061224489795918,0.0852649483996526,0.08302884583124337,0.08722014058557498,0.06856278022180107,0.2193640842700494,0.06468766729406683
0.32653061224489793,0.08353060124702827,0.0808644443468669,0.08543284146321078,0.06677548109943687,0.21871688594131977,0.06367324407025188
0.3469387755102041,0.08198895933358341,0.07894053191630945,0.08384413113222056,0.06518677076844692,0.21814159853800452,0.0627715345379718
0.36734693877551017,0.08064002265931935,0.07725710853957168,0.08245400959260407,0.06379664922883,0.2176382220601037,0.06198253869722714
0.3877551020408163,0.07948379122423677,0.07581417421665337,0.08126247684436128,0.06260511648058742,0.21720675650761734,0.061306256548017135
0.4081632653061224,0.07852026502833365,0.07461172894755475,0.08026953288749239,0.06161217252371842,0.21684720188054518,0.06074268809034167
0.42857142857142855,0.07774944407161177,0.07364977273227558,0.0794751777219973,0.060817817358223225,0.21655955817888767,0.060291833324202404
0.44897959183673464,0.07717132835406959,0.0729283055708172,0.07887941134787568,0.06022205098410205,0.21634382540264457,0.05995369224959668
0.4693877551020408,0.07678591787570843,0.07244732746317828,0.07848223376512853,0.05982487340135445,0.21620000355181557,0.059728264866526715
0.4897959183673469,0.07659321263652785,0.07220683840935793,0.07828364497375451,0.05962628460998087,0.2161280926264013,0.05961555117499229
0.5102040816326531,0.07659321263652963,0.07220683840935882,0.07828364497375428,0.05962628460998043,0.2161280926264012,0.059615551174992065
