x,SW-C,PM-C,Optimal
0.0,0.274497772491912,0.26894142136999516,0.26894142302072227
0.02040816326530612,0.2635224346496698,0.2581882450053473,0.2496654054942674
0.04081632653061224,0.2530044025508543,0.24788311765589313,0.23265367950223023
0.061224489795918366,0.24294367619546564,0.23802603932163255,0.21790624684371157
0.08163265306122448,0.23334025558350371,0.2286170100025657,0.2054231008444906
0.1020408163265306,0.22419414071496852,0.2196560296986924,0.19520424875404055
0.12244897959183673,0.21550533158986007,0.21114309841001283,0.18724968788715557
0.14285714285714285,0.20727382820817844,0.203078216136527,0.18139410949662557
0.16326530612244897,0.1994996305699236,0.19546138287823478,0.17618465469978306
0.18367346938775508,0.19218273867509542,0.18829259863513612,0.17128163842040195
0.2040816326530612,0.18532315252369405,0.18157186340723122,0.16668506065848218
0.22448979591836732,0.17892087211571941,0.17529917719451993,0.16239492141402373
0.24489795918367346,0.17297589745117153,0.1694745399970024,0.15841122068702662
0.26530612244897955,0.1674882285300504,0.1640979518146785,0.15473395847749077
0.2857142857142857,0.1624578653523561,0.15916941264754814,0.1513631347854163
0.3061224489795918,0.1578848079180885,0.15468892249561156,0.14829874961080308
0.32653061224489793,0.15376905622724768,0.1506564813588686,0.1455408029536512
0.3469387755102041,0.15011061027983358,0.14707208923731935,0.14308929481396068
0.36734693877551017,0.14690947007584615,0.14393574613096372,0.14094422519173144
0.3877551020408163,0.1441656356152855,0.14124745203980177,0.13910559408696344
0.4081632653061224,0.14187910689815197,0.13900720696383329,0.13757340149965708
0.42857142857142855,0.14004988392444495,0.13721501090305882,0.13634764742981198
0.44897959183673464,0.13867796669416466,0.13587086385747787,0.1354283318774277
0.4693877551020408,0.1377633552073112,0.13497476582709056,0.13481545484250512
0.4897959183673469,0.13730604946388414,0.13452671681189687,0.13450901632504397
0.5102040816326531,0.13730604946388436,0.13452671681189665,0.13450901632504386
0.5306122448979591,0.13776335520731098,0.13497476582709034,0.13481545484250512
0.5510204081632653,0.13867796669416432,0.13587086385747793,0.13542833187742775
0.5714285714285714,0.14004988392444473,0.13721501090305888,0.13634764742981176
0.5918367346938775,0.14187910689815175,0.1390072069638334,0.1375734014996567
0.6122448979591836,0.14416563561528561,0.14124745203980194,0.13910559408696366
0.6326530612244897,0.1469094700758462,0.1439357461309636,0.14094422519173133
0.6530612244897959,0.15011061027983374,0.14707208923731918,0.1430892948139606
0.673469387755102,0.15376905622724735,0.15065648135886878,0.14554080295365135
0.6938775510204082,0.15788480791808834,0.1546889224956114,0.14829874961080258
0.7142857142857142,0.1624578653523563,0.15916941264754825,0.15136313478541674
0.7346938775510203,0.1674882285300503,0.16409795181467857,0.15473395847749094
0.7551020408163265,0.1729758974511717,0.16947453999700213,0.15841122068702718
0.7755102040816326,0.17892087211571894,0.17529917719452026,0.1623949214140239
0.7959183673469387,0.18532315252369425,0.18157186340723186,0.1666850606584822
0.8163265306122448,0.19218273867509605,0.18829259863513603,0.17128163842041055
0.836734693877551,0.19949963056992304,0.195461382878235,0.17618465469978317
0.8571428571428571,0.20727382820817875,0.2030782161365272,0.18139410949662516
0.8775510204081632,0.21550533158985985,0.2111430984100131,0.18724968788648022
0.8979591836734693,0.22419414071496835,0.21965602969869202,0.19520424875031384
0.9183673469387754,0.2333402555835029,0.22861701000256507,0.20542311756371934
0.9387755102040816,0.24294367619546575,0.2380260393216327,0.21790624660613656
0.9591836734693877,0.2530044025508551,0.24788311765589288,0.23265367948533333
0.9795918367346939,0.2635224346496692,0.2581882450053474,0.24966540549358074
